family,policy,sources,parents,episodes,mase,mae,total_seconds,tool_count,budget_overruns,switch_gain,wrong_switch_loss,net_gain
bolt,CART_H32_high,3,26,156,1.2104843887606915,3.589812682738676,0.22527034261365994,0.4444444444444445,0,0.035381905047317024,0.0888616678304847,-0.05347976278316766
bolt,CART_H32_low,3,26,156,1.2104843887606915,3.589812682738676,0.22528873196411728,0.4444444444444445,0,0.035381905047317024,0.0888616678304847,-0.05347976278316766
bolt,CART_H_high,3,26,156,1.2033533119186581,3.494968530420664,0.3057808064062585,0.4444444444444445,0,0.006429059159628109,0.05277774510076235,-0.04634868594113425
bolt,CART_H_low,3,26,156,1.2033533119186581,3.494968530420664,0.30578662989337485,0.4444444444444445,0,0.006429059159628109,0.05277774510076235,-0.04634868594113425
bolt,CART_control_high,3,26,156,1.157004625977524,3.2661753557500632,0.2838988151116873,0.4444444444444445,0,0.0,0.0,0.0
bolt,CART_control_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051917275548546,0.0,0,0.0,0.0,0.0
bolt,CART_disagreement_high,3,26,156,1.157004625977524,3.2661753557500632,0.2839971755446571,0.4444444444444445,0,0.0,0.0,0.0
bolt,CART_disagreement_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051821614085012,0.0,0,0.0,0.0,0.0
bolt,CART_equal-cost_high,3,26,156,1.157004625977524,3.2661753557500632,0.2838853631675246,0.4444444444444445,0,0.0,0.0,0.0
bolt,CART_equal-cost_low,3,26,156,1.157004625977524,3.2661753557500632,0.12051842124960443,0.0,0,0.0,0.0,0.0
bolt,DIRECT_H32_high,3,26,156,1.156823745705865,3.265920366810038,0.2356274886241244,0.4444444444444445,0,0.008089274279615855,0.007908394007956817,0.0001808802716590386
bolt,DIRECT_H32_low,3,26,156,1.156823745705865,3.265920366810038,0.2356293840247962,0.4444444444444445,0,0.008089274279615855,0.007908394007956817,0.0001808802716590386
bolt,DIRECT_H_high,3,26,156,1.154033891896914,3.2942725911081823,0.30962824003829154,0.4444444444444445,0,0.02821310635092997,0.025242372270320054,0.002970734080609924
bolt,DIRECT_H_low,3,26,156,1.154033891896914,3.2942725911081823,0.30962493406154906,0.4444444444444445,0,0.02821310635092997,0.025242372270320054,0.002970734080609924
bolt,DIRECT_control_high,3,26,156,1.1466431815613554,3.2318379617349513,0.28328499109866984,0.4444444444444445,0,0.010513340902744748,0.00015189648657613534,0.010361444416168611
