config,learner,alpha,tau,joint_objective,bolt_mase,timesfm_mase,bolt_keep_rate,timesfm_keep_rate,mean_harmful_loss,non_degenerate,selected
L3_LINEAR_TREE_ENSEMBLE[a=0.75],L3_LINEAR_TREE_ENSEMBLE,0.75,0.5,1.8877552856438444,1.9637792306705382,1.811731340617151,0.06770833333333337,0.0,0.04853728362452221,False,False
L3_LINEAR_TREE_ENSEMBLE[a=0.75],L3_LINEAR_TREE_ENSEMBLE,0.75,0.55,1.8882351916705185,1.9648258613447964,1.8116445219962403,0.109375,0.0234375,0.0479744926030938,True,True
L3_LINEAR_TREE_ENSEMBLE[a=0.75],L3_LINEAR_TREE_ENSEMBLE,0.75,0.65,1.8898587440079688,1.9678456188180793,1.8118718691978586,0.31510416666666663,0.09635416666666663,0.04306630429480239,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.75],L3_LINEAR_TREE_ENSEMBLE,0.75,0.6,1.8906875267712586,1.9694937561387773,1.81188129740374,0.23697916666666663,0.05208333333333337,0.04581576053295934,True,False
L1_PAIRWISE_LOGISTIC,L1_PAIRWISE_LOGISTIC,,0.55,1.893412952484013,1.9908518210203026,1.7959740839477236,0.11979166666666663,0.02604166666666663,0.05450194793170804,True,False
L3_LINEAR_TREE_ENSEMBLE[a=1],L3_LINEAR_TREE_ENSEMBLE,1.0,0.55,1.893412952484013,1.9908518210203026,1.7959740839477236,0.11979166666666663,0.02604166666666663,0.05450194793170804,True,False
L1_PAIRWISE_LOGISTIC,L1_PAIRWISE_LOGISTIC,,0.5,1.8940780855291366,1.9917107611688876,1.7964454098893854,0.05729166666666663,0.0026041666666666297,0.05579921878932659,True,False
L3_LINEAR_TREE_ENSEMBLE[a=1],L3_LINEAR_TREE_ENSEMBLE,1.0,0.5,1.8940780855291366,1.9917107611688876,1.7964454098893854,0.05729166666666663,0.0026041666666666297,0.05579921878932659,True,False
L1_PAIRWISE_LOGISTIC,L1_PAIRWISE_LOGISTIC,,0.6,1.8947829572776302,1.9937591106492285,1.795806803906032,0.23177083333333337,0.0546875,0.05188218984534277,True,False
L3_LINEAR_TREE_ENSEMBLE[a=1],L3_LINEAR_TREE_ENSEMBLE,1.0,0.6,1.8947829572776302,1.9937591106492285,1.795806803906032,0.23177083333333337,0.0546875,0.05188218984534277,True,False
L1_PAIRWISE_LOGISTIC,L1_PAIRWISE_LOGISTIC,,0.65,1.8959110733336981,1.9945418574481253,1.7972802892192707,0.2890625,0.10416666666666663,0.049744770205979255,True,False
L3_LINEAR_TREE_ENSEMBLE[a=1],L3_LINEAR_TREE_ENSEMBLE,1.0,0.65,1.8959110733336981,1.9945418574481253,1.7972802892192707,0.2890625,0.10416666666666663,0.049744770205979255,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.5],L3_LINEAR_TREE_ENSEMBLE,0.5,0.5,1.8969132797715582,1.985760927169185,1.8080656323739315,0.0390625,0.0,0.05105767017254097,False,False
L3_LINEAR_TREE_ENSEMBLE[a=0.5],L3_LINEAR_TREE_ENSEMBLE,0.5,0.55,1.8982429140179398,1.988484717151501,1.8080011108843785,0.10416666666666663,0.0234375,0.05038232805288142,True,False
L3_LINEAR_TREE_ENSEMBLE[a=0.25],L3_LINEAR_TREE_ENSEMBLE,0.25,0.65,1.899032440269108,1.9827190805242871,1.8153458000139284,0.359375,0.15364583333333337,0.04895649512131955,True,False
