lambda_pair,lambda_ridge,lambda_tree,tau,joint_objective,bolt_mase,timesfm_mase,bolt_keep_rate,timesfm_keep_rate,mean_harmful_loss,non_degenerate,selected
0.75,0.25,0.0,0.5,1.8831744238370358,1.969770313355849,1.7965785343182226,0.07291666666666663,0.0,0.05228680096824792,False,False
0.75,0.25,0.0,0.55,1.8839794087988322,1.9714671019003518,1.7964917156973124,0.125,0.0234375,0.05136191527125802,True,True
0.75,0.25,0.0,0.65,1.8846182690962412,1.972734089948125,1.7965024482443575,0.33072916666666663,0.1015625,0.04649382714378036,True,False
0.75,0.25,0.0,0.6,1.885500359686752,1.9743056050642243,1.7966951143092795,0.24479166666666663,0.0546875,0.049090883438776,True,False
0.75,0.0,0.25,0.5,1.8858948346377098,1.9647353200124362,1.8070543492629834,0.06770833333333337,0.0,0.04578729029067196,False,False
0.75,0.0,0.25,0.55,1.886757553065499,1.9666606755415867,1.8068544305894112,0.1171875,0.02604166666666663,0.04501981954147539,True,False
1.0,0.0,0.0,0.5,1.8877552856438444,1.9637792306705382,1.811731340617151,0.06770833333333337,0.0,0.04853728362452221,False,False
1.0,0.0,0.0,0.55,1.8882351916705185,1.9648258613447964,1.8116445219962403,0.109375,0.0234375,0.0479744926030938,True,False
0.75,0.0,0.25,0.65,1.888979641416384,1.9706468667405859,1.8073124160921819,0.34114583333333337,0.09895833333333337,0.040389893350023194,True,False
0.75,0.0,0.25,0.6,1.889136229925096,1.9710856285361913,1.8071868313140007,0.25260416666666663,0.0546875,0.042574079438590234,True,False
0.5,0.25,0.25,0.5,1.8894508656360212,1.9727011071673637,1.8062006241046784,0.0859375,0.0078125,0.05039085433193214,True,False
0.25,0.5,0.25,0.5,1.8895699045379062,1.9697930844431149,1.8093467246326975,0.109375,0.05989583333333337,0.049682059420546036,True,False
1.0,0.0,0.0,0.65,1.8898587440079688,1.9678456188180793,1.8118718691978586,0.31510416666666663,0.09635416666666663,0.04306630429480239,True,False
0.5,0.25,0.25,0.55,1.8905724848139445,1.975106158561458,1.806038811066431,0.13802083333333337,0.02864583333333337,0.049713521084530185,True,False
0.25,0.5,0.25,0.55,1.8906101627856113,1.971822184019603,1.8093981415516196,0.16927083333333337,0.07552083333333337,0.048653802589721545,True,False
1.0,0.0,0.0,0.6,1.8906875267712586,1.9694937561387773,1.81188129740374,0.23697916666666663,0.05208333333333337,0.04581576053295934,True,False
0.5,0.25,0.25,0.65,1.8911360552981964,1.9757438215865344,1.8065282890098584,0.33333333333333337,0.09635416666666663,0.04482108322343251,True,False
0.25,0.5,0.25,0.65,1.8916240903255885,1.9721183494924643,1.8111298311587125,0.36197916666666663,0.13802083333333337,0.04381831452335568,True,False
0.5,0.25,0.25,0.6,1.891705423380956,1.9768916850525473,1.806519161709365,0.25,0.05729166666666663,0.047414835677369406,True,False
0.25,0.5,0.25,0.6,1.8917661726007546,1.9734063115752896,1.81012603362622,0.27864583333333337,0.09375,0.04647103054124425,True,False
0.25,0.75,0.0,0.5,1.892798643731551,1.9695363873535188,1.816060900109583,0.1171875,0.09375,0.05263198815749985,True,False
0.5,0.5,0.0,0.5,1.892823369932424,1.9717212110776334,1.8139255287872145,0.1015625,0.03385416666666663,0.05350511910817285,True,False
0.0,1.0,0.0,0.5,1.8934906348393645,1.9689002934808273,1.8180809761979018,0.18229166666666663,0.1171875,0.05164527483106693,True,False
0.25,0.75,0.0,0.55,1.893649293915845,1.9711675477044126,1.8161310401272774,0.17447916666666663,0.11197916666666663,0.05150330766863369,True,False
0.5,0.5,0.0,0.55,1.893762018226533,1.973520143365917,1.8140038930871487,0.15885416666666663,0.04947916666666663,0.05249667433121985,True,False
0.0,1.0,0.0,0.55,1.8943020628124825,1.9704530094093688,1.818151116215596,0.2421875,0.13541666666666663,0.050422543842048625,True,False
0.5,0.5,0.0,0.6,1.8948204016060979,1.975295902490305,1.8143449007218906,0.26302083333333337,0.0703125,0.05033994599248653,True,False
0.5,0.5,0.0,0.65,1.8949864223054336,1.9738510063254167,1.8161218382854503,0.34375,0.125,0.0479167855035889,True,False
0.25,0.75,0.0,0.65,1.8950718839246221,1.9717795411267018,1.8183642267225424,0.35677083333333337,0.171875,0.047129641405302604,True,False
0.25,0.75,0.0,0.6,1.8950939826758624,1.9732244372915901,1.8169635280601346,0.27604166666666663,0.12760416666666663,0.04963318775192026,True,False
