key,family
AF_A1_CALLS,appendix_ablation
AF_A1_CHIR,appendix_ablation
AF_A1_HL,appendix_ablation
AF_A1_IR,appendix_ablation
AF_A1_MAE,appendix_ablation
AF_A1_MASE,appendix_ablation
AF_A1_MSE,appendix_ablation
AF_A1_RMSE,appendix_ablation
AF_A2_CALLS,appendix_ablation
AF_A2_CHIR,appendix_ablation
AF_A2_HL,appendix_ablation
AF_A2_IR,appendix_ablation
AF_A2_MAE,appendix_ablation
AF_A2_MASE,appendix_ablation
AF_A2_MSE,appendix_ablation
AF_A2_RMSE,appendix_ablation
AF_A3_CALLS,appendix_ablation
AF_A3_CHIR,appendix_ablation
AF_A3_HL,appendix_ablation
AF_A3_IR,appendix_ablation
AF_A3_MAE,appendix_ablation
AF_A3_MASE,appendix_ablation
AF_A3_MSE,appendix_ablation
AF_A3_RMSE,appendix_ablation
AF_A4_CALLS,appendix_ablation
AF_A4_CHIR,appendix_ablation
AF_A4_HL,appendix_ablation
AF_A4_IR,appendix_ablation
AF_A4_MAE,appendix_ablation
AF_A4_MASE,appendix_ablation
AF_A4_MSE,appendix_ablation
AF_A4_RMSE,appendix_ablation
AF_A5_CALLS,appendix_ablation
AF_A5_CHIR,appendix_ablation
AF_A5_HL,appendix_ablation
AF_A5_IR,appendix_ablation
AF_A5_MAE,appendix_ablation
AF_A5_MASE,appendix_ablation
AF_A5_MSE,appendix_ablation
AF_A5_RMSE,appendix_ablation
AF_FULL_CALLS,appendix_ablation
AF_FULL_CHIR,appendix_ablation
AF_FULL_HL,appendix_ablation
AF_FULL_IR,appendix_ablation
AF_FULL_MAE,appendix_ablation
AF_FULL_MASE,appendix_ablation
AF_FULL_MSE,appendix_ablation
AF_FULL_RMSE,appendix_ablation
AF_ORACLE_CHIR,appendix_ablation
AF_ORACLE_HL,appendix_ablation
AF_ORACLE_IR,appendix_ablation
AF_ORACLE_MAE,appendix_ablation
AF_ORACLE_MASE,appendix_ablation
AF_ORACLE_MSE,appendix_ablation
AF_ORACLE_RMSE,appendix_ablation
CALLS_ACT_N,appendix_cost
CALLS_ACT_SHARE,appendix_cost
CALLS_CAND_N,appendix_cost
CALLS_COLD_LATENCY,appendix_cost
CALLS_COLD_N,appendix_cost
CALLS_FAIL_COST,appendix_cost
CALLS_FAIL_N,appendix_cost
CALLS_FAIL_SHARE,appendix_cost
CALLS_KEEP_N,appendix_cost
CALLS_KEEP_SHARE,appendix_cost
CALLS_OFFLINE,appendix_cost
CALLS_SELECTOR,appendix_cost
CALLS_TIMEOUT_COST,appendix_cost
CALLS_TIMEOUT_N,appendix_cost
CALLS_TIMEOUT_SHARE,appendix_cost
COST_CALLS,appendix_cost
COST_LATENCY,appendix_cost
OURS_CALLS,appendix_cost
OURS_CAND,appendix_cost
OURS_MAX,appendix_cost
OURS_MEAN,appendix_cost
OURS_OFF,appendix_cost
OURS_P95,appendix_cost
SRDI_CALLS,appendix_cost
SRDI_CAND,appendix_cost
SRDI_MAX,appendix_cost
SRDI_MEAN,appendix_cost
SRDI_OFF,appendix_cost
SRDI_P95,appendix_cost
T1_CALLS,appendix_cost
T1_CAND,appendix_cost
T1_MAX,appendix_cost
T1_MEAN,appendix_cost
T1_OFF,appendix_cost
T1_P95,appendix_cost
TATO_CALLS,appendix_cost
TATO_CAND,appendix_cost
TATO_MAX,appendix_cost
TATO_MEAN,appendix_cost
TATO_OFF,appendix_cost
TATO_P95,appendix_cost
TOI_CALLS,appendix_cost
TOI_CAND,appendix_cost
TOI_MAX,appendix_cost
TOI_MEAN,appendix_cost
TOI_OFF,appendix_cost
TOI_P95,appendix_cost
CTF_CALLS,appendix_extended_comparison
CTF_CAND,appendix_extended_comparison
CTF_MAX,appendix_extended_comparison
CTF_MEAN,appendix_extended_comparison
CTF_OFF,appendix_extended_comparison
CTF_OVR,appendix_extended_comparison
CTF_P95,appendix_extended_comparison
CTF_RMSSE,appendix_extended_comparison
GIMCC_BOLT,appendix_extended_comparison
GIMCC_CH2,appendix_extended_comparison
GIMCC_OVR,appendix_extended_comparison
GIMCC_RANK,appendix_extended_comparison
GIMCC_TF,appendix_extended_comparison
TOIVSF_BOLT,appendix_extended_comparison
TOIVSF_CH2,appendix_extended_comparison
TOIVSF_OVR,appendix_extended_comparison
TOIVSF_RANK,appendix_extended_comparison
TOIVSF_TF,appendix_extended_comparison
OPPSENS_HALF_HIGH,appendix_gate_grid
OPPSENS_HALF_LOW,appendix_gate_grid
OPPSENS_HALF_NOOP,appendix_gate_grid
OPPSENS_HALF_OVR,appendix_gate_grid
OPPSENS_ONE_HIGH,appendix_gate_grid
OPPSENS_ONE_LOW,appendix_gate_grid
OPPSENS_ONE_NOOP,appendix_gate_grid
OPPSENS_ONE_OVR,appendix_gate_grid
OPPSENS_TWO_HIGH,appendix_gate_grid
OPPSENS_TWO_LOW,appendix_gate_grid
OPPSENS_TWO_NOOP,appendix_gate_grid
OPPSENS_TWO_OVR,appendix_gate_grid
SEED1_DELTA,appendix_mask_stability
SEED1_IR,appendix_mask_stability
SEED1_MASE,appendix_mask_stability
SEED2_DELTA,appendix_mask_stability
SEED2_IR,appendix_mask_stability
SEED2_MASE,appendix_mask_stability
SEED3_DELTA,appendix_mask_stability
SEED3_IR,appendix_mask_stability
SEED3_MASE,appendix_mask_stability
SEED4_DELTA,appendix_mask_stability
SEED4_IR,appendix_mask_stability
SEED4_MASE,appendix_mask_stability
SEED5_DELTA,appendix_mask_stability
SEED5_IR,appendix_mask_stability
SEED5_MASE,appendix_mask_stability
SEED6_DELTA,appendix_mask_stability
SEED6_IR,appendix_mask_stability
SEED6_MASE,appendix_mask_stability
SEED_IR_SPREAD_BOLT,appendix_mask_stability
SEED_IR_SPREAD_CH2,appendix_mask_stability
SEED_MASK,appendix_mask_stability
SEED_ORDER,appendix_mask_stability
SEED_SELECTOR,appendix_mask_stability
SEED_SPREAD_BOLT,appendix_mask_stability
SEED_SPREAD_CH2,appendix_mask_stability
HIGHOP_BF,appendix_operating_points
HIGHOP_KEEP,appendix_operating_points
HIGHOP_OURS,appendix_operating_points
HIGHOP_R2,appendix_operating_points
HIGHOP_SRDI,appendix_operating_points
HIGHOP_T1,appendix_operating_points
HIGHOP_TATO,appendix_operating_points
HIGHOP_TOI,appendix_operating_points
LOWOP_BF,appendix_operating_points
LOWOP_KEEP,appendix_operating_points
LOWOP_OURS,appendix_operating_points
LOWOP_R2,appendix_operating_points
LOWOP_SRDI,appendix_operating_points
LOWOP_T1,appendix_operating_points
LOWOP_TATO,appendix_operating_points
LOWOP_TOI,appendix_operating_points
NOOP_BF,appendix_operating_points
NOOP_KEEP,appendix_operating_points
NOOP_OURS,appendix_operating_points
NOOP_R2,appendix_operating_points
NOOP_SRDI,appendix_operating_points
NOOP_T1,appendix_operating_points
NOOP_TATO,appendix_operating_points
NOOP_TOI,appendix_operating_points
OVR_BF,appendix_opportunity_strata
OVR_KEEP,appendix_opportunity_strata
OVR_OURS,appendix_opportunity_strata
OVR_R2,appendix_opportunity_strata
OVR_SRDI,appendix_opportunity_strata
OVR_T1,appendix_opportunity_strata
OVR_TATO,appendix_opportunity_strata
OVR_TOI,appendix_opportunity_strata
STRATUM_HIGH_MED,appendix_opportunity_strata
STRATUM_HIGH_N,appendix_opportunity_strata
STRATUM_HIGH_P90,appendix_opportunity_strata
STRATUM_HIGH_SHARE,appendix_opportunity_strata
STRATUM_LOW_MED,appendix_opportunity_strata
STRATUM_LOW_N,appendix_opportunity_strata
STRATUM_LOW_P90,appendix_opportunity_strata
STRATUM_LOW_SHARE,appendix_opportunity_strata
STRATUM_NOOP_MED,appendix_opportunity_strata
STRATUM_NOOP_N,appendix_opportunity_strata
STRATUM_NOOP_P90,appendix_opportunity_strata
STRATUM_NOOP_SHARE,appendix_opportunity_strata
P1_BF,appendix_per_pattern
P1_KEEP,appendix_per_pattern
P1_OURS,appendix_per_pattern
P1_R2,appendix_per_pattern
P1_SRDI,appendix_per_pattern
P1_T1,appendix_per_pattern
P1_TATO,appendix_per_pattern
P1_TOI,appendix_per_pattern
P2_BF,appendix_per_pattern
P2_KEEP,appendix_per_pattern
P2_OURS,appendix_per_pattern
P2_R2,appendix_per_pattern
P2_SRDI,appendix_per_pattern
P2_T1,appendix_per_pattern
P2_TATO,appendix_per_pattern
P2_TOI,appendix_per_pattern
P3_BF,appendix_per_pattern
P3_KEEP,appendix_per_pattern
P3_OURS,appendix_per_pattern
P3_R2,appendix_per_pattern
P3_SRDI,appendix_per_pattern
P3_T1,appendix_per_pattern
P3_TATO,appendix_per_pattern
P3_TOI,appendix_per_pattern
P4_BF,appendix_per_pattern
P4_KEEP,appendix_per_pattern
P4_OURS,appendix_per_pattern
P4_R2,appendix_per_pattern
P4_SRDI,appendix_per_pattern
P4_T1,appendix_per_pattern
P4_TATO,appendix_per_pattern
P4_TOI,appendix_per_pattern
PR_BF,appendix_per_pattern
PR_KEEP,appendix_per_pattern
PR_OURS,appendix_per_pattern
PR_R2,appendix_per_pattern
PR_SRDI,appendix_per_pattern
PR_T1,appendix_per_pattern
PR_TATO,appendix_per_pattern
PR_TOI,appendix_per_pattern
EVAL_ORIGINS,appendix_protocol_counts
EVAL_PARENTS,appendix_protocol_counts
EVAL_SOURCES,appendix_protocol_counts
FIT_ORIGINS,appendix_protocol_counts
FIT_PARENTS,appendix_protocol_counts
FIT_SOURCES,appendix_protocol_counts
GATE_HARM_CAP,appendix_protocol_counts
GATE_ORIGINS,appendix_protocol_counts
GATE_PARENTS,appendix_protocol_counts
GATE_SOURCES,appendix_protocol_counts
TEST_MANIFEST,appendix_protocol_counts
TEST_ORIGINS,appendix_protocol_counts
TEST_PARENTS,appendix_protocol_counts
TEST_SOURCES,appendix_protocol_counts
DISCORDANT_RATE,appendix_reconstruction
RECON_ORACLE_MASE,appendix_reconstruction
REC_SRDI_GAIN,appendix_reconstruction
REC_SRDI_MAE,appendix_reconstruction
REC_SRDI_MASE,appendix_reconstruction
REC_SRDI_MSE,appendix_reconstruction
REC_T1_GAIN,appendix_reconstruction
REC_T1_MAE,appendix_reconstruction
